site	brand	width	height	first_seen_date	last_seen_date	days_seen	landing_url	src	screenshot_path	ad_score	ad_reason	created_at	notes	updated_at	hidden
gogo.mn	GoGo.mn	1100	483	2025-12-15	2025-12-15	1	https://gogo.mn	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/051b40ca-59e4-459a-889d-b207085c25aa/69329d2b518d92c5c433e87c_compressed.webp	banner_screenshots/gogo_1765791721_26_e5a1225e.png	0		2025-12-15 09:47:24.398	onpage	2025-12-15 09:47:24.398	
caak.mn	Голомт Банк	1680	265	2025-12-15	2025-12-22	6	https://www.golomtbank.com/news/48459	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelJNQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bb7a2ab4f87a0ac0b98303fe2fc3344b7f9fbbc7/1900%20300%20caak,%20caaknews.png	banner_screenshots/caak_1766383422_0_e8a3ee95.png	3	large,external_click	2025-12-15 09:47:24.401	onpage	2025-12-22 06:05:35.329	
caak.mn	Хаан Банк	422	520	2025-12-15	2025-12-22	6	https://www.khanbank.com/personal/news/intelligence/7865/	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM2xNQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fe99d669477430d4b836c96062175d38498ec796/3_Caak.jpg	banner_screenshots/caak_1766376360_1_1dc68725.png	3	large,external_click	2025-12-15 09:47:24.401	onpage	2025-12-22 04:07:29.011	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=2d539c1373f1105bc16c2b0359999c3b	https://banner.bolor.net/files/39/176483362313.jpg	banner_screenshots/bolortoli_1766383497_0_bd18a737.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.338	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=fa6b603fdc12da973ab25f1bd9ddee5f	https://banner.bolor.net/files/39/176550753013.png	banner_screenshots/bolortoli_1766383455_0_5a32e6f1.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.334	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=379749266bd372848d7ab4bc882c9c77	https://banner.bolor.net/files/39/176553407913.png	banner_screenshots/bolortoli_1766383472_0_e48d3301.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.337	
ikon.mn	Toki	1280	720	2025-12-19	2025-12-22	2	https://link.toki.mn/4unM	https://content.ikon.mn/raw/2025/12/16/18653/Mbank_ApplePay_Digitalplacement_2_2.png	banner_screenshots/ikon_1766383126_2_07def81d.png	0		2025-12-19 06:58:51.489	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1766126615	2025-12-22 06:05:35.296	
ikon.mn	Ikon.mn	1280	720	2025-12-19	2025-12-22	2	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/16/18654/Mbank_ApplePay_Digitalplacement_1_2.png	banner_screenshots/ikon_1766378932_1_b76fdb5d.png	0		2025-12-19 06:58:51.516	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766126614	2025-12-22 04:53:18.641	
ikon.mn	Ikon.mn	1280	720	2025-12-19	2025-12-22	2	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/3/18592/560.jpg	banner_screenshots/ikon_1766383148_2_f6fa2762.png	0		2025-12-19 06:58:51.517	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766126614	2025-12-22 06:05:35.299	
gogo.mn	GoGo.mn	1100	483	2025-12-19	2025-12-22	2	https://gogo.mn	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/e6cdc94f-052a-4452-90cb-630f7f91cd5c/694097ae0e4e7f67435bb357_compressed.webp	banner_screenshots/gogo_1766383097_26_2a184300.png	0		2025-12-19 06:58:51.519	onpage	2025-12-22 06:05:35.314	
caak.mn	Хаан Банк	422	520	2025-12-19	2025-12-22	2	https://www.khanbank.com/personal/news/intelligence/7854/	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHRJQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e69075327c021f8651b7cc8515edc4812b5bf1d0/Khan%20New%20year%20A2.jpg	banner_screenshots/caak_1766383425_1_56acdb22.png	3	large,external_click	2025-12-19 06:58:51.522	onpage	2025-12-22 06:05:35.330	
bolor-toli.com	Banner	1600	579	2025-12-19	2025-12-22	2	https://banner.bolor.net/pub/jump?t=81a2c5d757c19a6a17bd19e8d49fbba5	https://banner.bolor.net/files/37/176612259913.jpg	banner_screenshots/bolortoli_1766383446_0_f334782e.png	0		2025-12-19 06:58:51.523	onpage	2025-12-22 06:05:35.332	
ikon.mn	Ikon.mn	1280	720	2025-12-22	2025-12-22	1	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/8/18596/1_Ikon.jpg	banner_screenshots/ikon_1766377899_2_1225693d.png	0		2025-12-22 04:07:28.928	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766375609	2025-12-22 04:37:50.364	
ikon.mn	Ikon.mn	1280	720	2025-12-22	2025-12-22	1	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/1/18568/560x400..png	banner_screenshots/ikon_1766383137_1_7f1ee0a6.png	0		2025-12-22 04:53:18.642	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766378743	2025-12-22 06:05:35.298	
